iter	RMSE
0	21.39362571
1	21.04503966
2	20.69973233
3	20.36902849
4	20.04664544
5	19.72841239
6	19.42879517
7	19.15397807
8	18.88091532
9	18.58915885
10	18.3194499
11	18.0569587
12	17.80336545
13	17.54812508
14	17.2989111
15	17.09773457
16	16.85795822
17	16.62677518
18	16.41042794
19	16.24890297
20	16.04773386
21	15.85087188
22	15.64090758
23	15.4493189
24	15.27016236
25	15.11885934
26	14.92651477
27	14.78064751
28	14.61068598
29	14.45748634
30	14.31027093
31	14.14556157
32	13.99049467
33	13.85793115
34	13.70499432
35	13.58891711
36	13.46909814
37	13.28996563
38	13.16001447
39	13.0422241
40	12.9097896
41	12.79618711
42	12.69817058
43	12.58713061
44	12.47287608
45	12.37607406
46	12.25511047
47	12.15473057
48	12.06044502
49	11.94216724
50	11.84630383
51	11.74335776
52	11.65554649
53	11.55900245
54	11.46175071
55	11.39682082
56	11.30370298
57	11.23622289
58	11.16436974
59	11.05327403
60	10.97059053
61	10.88694453
62	10.8181305
63	10.76214916
64	10.65208383
65	10.54850572
66	10.48809476
67	10.43491519
68	10.37776852
69	10.31600958
70	10.26162067
71	10.18756048
72	10.13694135
73	10.0768412
74	10.0208109
75	9.955491382
76	9.87365191
77	9.799189739
78	9.717558494
79	9.65301843
80	9.620095203
81	9.576341588
82	9.48043923
83	9.433608141
84	9.384231566
85	9.317685251
86	9.269620206
87	9.242163233
88	9.200754227
89	9.138656984
90	9.094662755
91	9.060664069
92	9.014830841
93	8.980980855
94	8.928487971
95	8.893590453
96	8.878618198
97	8.840028102
98	8.768040501
99	8.733707018
100	8.684553643
101	8.643996327
102	8.594014697
103	8.544924883
104	8.519305989
105	8.479901542
106	8.434172257
107	8.383735228
108	8.337671862
109	8.309895892
110	8.238869355
111	8.222823806
112	8.159171503
113	8.138370409
114	8.101441541
115	8.067270971
116	8.026579285
117	7.992008638
118	7.942463404
119	7.894619009
120	7.879591384
121	7.838071741
122	7.78513511
123	7.763742446
124	7.742748143
125	7.732160828
126	7.705603502
127	7.683211961
128	7.679469821
129	7.676479086
130	7.654585582
131	7.643871594
132	7.628519184
133	7.605778174
134	7.567909833
135	7.535211038
136	7.488435094
137	7.474863839
138	7.448373227
139	7.408888754
140	7.389397665
141	7.371529063
142	7.329739041
143	7.313011912
144	7.300475918
145	7.281687474
146	7.257477244
147	7.245159402
148	7.229086258
149	7.189439384
150	7.148428894
151	7.112110007
152	7.080388262
153	7.060983209
154	7.041318574
155	6.992408148
156	6.980307632
157	6.96495922
158	6.931493069
159	6.904468769
160	6.891891677
161	6.848851676
162	6.823410787
163	6.816170329
164	6.797205965
165	6.782105715
166	6.770289871
167	6.751151281
168	6.717757286
169	6.709913671
170	6.697728916
171	6.685645419
172	6.648680338
173	6.635544567
174	6.624940336
175	6.612758114
176	6.602940165
177	6.593305084
178	6.578348564
179	6.559921014
180	6.5492112
181	6.525580555
