iter	Passed	Remaining
0	10	10339
1	17	8521
2	24	8097
3	32	8110
4	39	7866
5	46	7729
6	53	7563
7	60	7521
8	67	7434
9	75	7520
10	82	7453
11	90	7426
12	96	7344
13	103	7283
14	110	7229
15	117	7203
16	124	7176
17	131	7162
18	138	7158
19	145	7150
20	152	7130
21	159	7094
22	166	7089
23	173	7051
24	179	7018
25	186	6999
26	194	6994
27	201	6977
28	207	6959
29	214	6947
30	221	6924
31	228	6913
32	235	6897
33	242	6886
34	249	6874
35	258	6922
36	265	6905
37	272	6892
38	280	6900
39	287	6896
40	294	6882
41	301	6871
42	308	6864
43	315	6863
44	323	6859
45	330	6861
46	337	6844
47	344	6828
48	350	6810
49	358	6803
50	365	6794
51	373	6802
52	380	6791
53	387	6781
54	394	6772
55	401	6764
56	407	6747
57	414	6733
58	421	6717
59	428	6709
60	435	6700
61	442	6691
62	449	6684
63	456	6670
64	462	6659
65	469	6646
66	476	6634
67	483	6626
68	490	6615
69	497	6608
70	504	6600
71	511	6592
72	518	6583
73	525	6573
74	531	6557
75	538	6548
76	545	6537
77	552	6527
78	558	6516
79	565	6508
80	572	6495
81	578	6481
82	585	6468
83	592	6459
84	599	6448
85	606	6447
86	616	6464
87	623	6457
88	630	6450
89	637	6445
90	645	6446
91	652	6443
92	659	6433
93	666	6426
94	673	6417
95	680	6409
96	687	6401
97	694	6393
98	704	6410
99	711	6403
100	721	6420
101	729	6418
102	735	6409
103	742	6400
104	749	6390
105	756	6380
106	763	6375
107	770	6364
108	777	6354
109	784	6343
110	791	6336
111	798	6328
112	806	6332
113	813	6323
114	820	6313
115	827	6308
116	836	6313
117	843	6305
118	850	6297
119	857	6288
120	864	6283
121	871	6275
122	879	6269
123	887	6268
124	894	6261
125	901	6253
126	910	6257
127	918	6258
128	926	6256
129	935	6258
130	942	6254
131	951	6256
132	959	6258
133	967	6253
134	976	6255
135	984	6253
136	993	6255
137	1001	6256
138	1009	6251
139	1016	6247
140	1024	6242
141	1032	6239
142	1041	6242
143	1049	6239
144	1056	6232
145	1065	6231
146	1073	6228
147	1082	6230
148	1090	6228
149	1098	6223
150	1106	6222
151	1114	6220
152	1124	6224
153	1132	6221
